|Departamento|REGION|AÑO|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Total_x|Tasa de aprovechamiento|Ton_percapita_apro|kg_percapita_apro
76|CESAR|CARIBE|2019|579663.2159999999|7134.293910000003|23026287|0.012158016674430377|0.00030983258004210594|0.30983258004210595
77|CESAR|CARIBE|2020|621142.098|15636.569999999996|23655822|0.02455573778737198|0.0006610030291908688|0.6610030291908687
78|CESAR|CARIBE|2021|550655.538|10273.35|23719149|0.018314888428424107|0.00043312472972786674|0.43312472972786675
79|CHOCO|PACIFICO|2020|28938.899999999998|298.98|1569900|0.010225775603429525|0.0001904452512898911|0.1904452512898911
80|CHOCO|PACIFICO|2021|49172.30999999999|138.03|2373948|0.0027992100642583286|5.814364931329583e-05|0.058143649313295825
81|CORDOBA|CARIBE|2016|238605.3|4563.027000000001|12927762|0.018764890379823197|0.0003529634131568945|0.3529634131568945
82|CORDOBA|CARIBE|2017|350488.87200000003|14222.214000000002|18064740|0.038995836830690696|0.0007872913753533126|0.7872913753533126
83|CORDOBA|CARIBE|2018|401278.41000000003|27904.68779999999|21483000|0.0650181424735501|0.0012989195084485402|1.29891950844854
84|CORDOBA|CARIBE|2019|501595.89000000013|46866.0891|29202006|0.0854500236769466|0.0016048927974331626|1.6048927974331626
85|CORDOBA|CARIBE|2020|589700.4239999995|46945.49999999999|29873349|0.07373878985204974|0.0015714843354188374|1.5714843354188375
86|CORDOBA|CARIBE|2021|590803.2450000001|35799.74999999998|33063171|0.05713306557048929|0.0010827681954643728|1.0827681954643729
87|CUNDINAMARCA|CENTRO ORIENTE|2016|134033.22|1100.7329999999997|8433684|0.00814549545516514|0.00013051627260400077|0.13051627260400078
88|CUNDINAMARCA|CENTRO ORIENTE|2017|424086.27000000014|14956.2603|24800166|0.034065629791674865|0.0006030709754120194|0.6030709754120194
89|CUNDINAMARCA|CENTRO ORIENTE|2018|901248.2339999999|59907.98370000002|48178206|0.06232908095143671|0.0012434664690503423|1.2434664690503423
90|CUNDINAMARCA|CENTRO ORIENTE|2019|1151268.8819999998|126734.84454000002|60794253|0.09916625586305236|0.002084651727524311|2.084651727524311
91|CUNDINAMARCA|CENTRO ORIENTE|2020|3237988.8840000005|194785.89000000004|74549265|0.05674298572551792|0.0026128478932689685|2.6128478932689685
92|CUNDINAMARCA|CENTRO ORIENTE|2021|1580645.4749999999|216371.706|77102334|0.12040603077572914|0.0028062925565910885|2.8062925565910883
93|CUNDINAMARCA|PACIFICO|2018|80243.98199999997|3468.6570000000006|3515967|0.04143528434218877|0.0009865442423094416|0.9865442423094416
94|CUNDINAMARCA|PACIFICO|2019|129049.28999999992|20769.503999999997|5082156|0.1386308315897938|0.004086750583807345|4.086750583807345
95|CUNDINAMARCA|PACIFICO|2020|137691.38999999996|22233.660000000003|5811849|0.13902549975754272|0.00382557427076994|3.82557427076994
96|CUNDINAMARCA|PACIFICO|2021|138509.88000000012|24549.57|6178356|0.15055594753937893|0.003973479352759861|3.9734793527598606
97|GUAVIARE|LLANO |2018|24839.369999999995|6890.8434|1426005|0.2171697780009258|0.004832271555850085|4.832271555850085
98|GUAVIARE|LLANO |2019|31944.719999999994|4285.187580000002|1955988|0.11827762934635677|0.0021908046368382637|2.190804636838264
99|GUAVIARE|LLANO |2020|5220.36|269.85|167460|0.049151125366789256|0.0016114295951271946|1.6114295951271946
100|HUILA|CENTRO SUR|2017|6337.5|183.606|463890|0.028155653350827297|0.0003957964172540904|0.3957964172540904
101|HUILA|CENTRO SUR|2018|84906.87|1232.3939999999998|4055877|0.01430699477534426|0.0003038538890602451|0.30385388906024513
102|HUILA|CENTRO SUR|2019|307514.0999999999|13182.572714999991|13600623|0.04110604766615467|0.0009692624165084196|0.9692624165084196
103|HUILA|CENTRO SUR|2020|381186.64800000004|13647.84|15374412|0.03456597742799002|0.0008876983392925856|0.8876983392925856
104|HUILA|CENTRO SUR|2021|454380.5999999998|16218.780000000006|21199260|0.034464091304157715|0.0007650634974994413|0.7650634974994414
105|LA GUAJIRA|CARIBE|2016|40868.364|769.995|2096112|0.018492443470214566|0.0003673443976276077|0.3673443976276077
106|LA GUAJIRA|CARIBE|2017|168825.29400000005|2864.7603000000004|7959879|0.016685650847277994|0.0003598999808916694|0.35989998089166936
107|LA GUAJIRA|CARIBE|2018|255970.00799999994|9285.216|12909456|0.03500483745420977|0.000719256953972344|0.719256953972344
108|LA GUAJIRA|CARIBE|2019|250725.43800000008|10270.248900000002|13484844|0.03935026291808043|0.0007616142166716947|0.7616142166716947
109|LA GUAJIRA|CARIBE|2020|295488.948|11248.5|13928796|0.03667142722006346|0.0008075715948456708|0.8075715948456708
110|LA GUAJIRA|CARIBE|2021|267212.84400000004|14848.890000000003|14245920|0.05264411371731835|0.0010423258027561578|1.0423258027561577
