,AÑO,Departamento,kg_per_capita
0,2016,ANTIOQUIA,167.61080842720477
1,2016,ATLANTICO,248.27267237945964
2,2016,"BOGOTA, D.C.",208.238645331998
3,2016,BOLIVAR,142.33615002813875
4,2016,BOYACA,49.86478982263655
5,2016,CALDAS,140.04021561212394
6,2016,CAUCA,182.18276531930456
7,2016,CESAR,192.91733757541664
8,2016,CORDOBA,166.11132692572775
9,2016,CUNDINAMARCA,63.73156640942612
10,2016,LA GUAJIRA,77.98889372323617
11,2016,MAGDALENA,280.21303044908734
12,2016,RISARALDA,209.82844370666163
13,2016,SANTANDER,260.3090561956571
14,2016,VALLE DEL CAUCA,64.64755600739097
15,2017,ANTIOQUIA,236.6196263223129
16,2017,ATLANTICO,223.479978795717
17,2017,"BOGOTA, D.C.",307.6350824380517
18,2017,BOLIVAR,434.0087237993274
19,2017,BOYACA,149.2518184134493
20,2017,CALDAS,303.13423379987097
21,2017,CAUCA,247.1525597508709
22,2017,CESAR,292.4400885115762
23,2017,CORDOBA,198.4232476774401
24,2017,CUNDINAMARCA,149.64731351262657
25,2017,HUILA,68.30821962103084
26,2017,LA GUAJIRA,163.63511540944327
27,2017,MAGDALENA,361.9260004195407
28,2017,META,202.65526164462327
29,2017,QUINDIO,42.71561683659127
30,2017,RISARALDA,242.7102038765954
31,2017,SANTANDER,492.136508206765
32,2017,SUCRE,54.48906875834446
33,2017,TOLIMA,280.23676953431504
34,2017,VALLE DEL CAUCA,293.9960062348601
35,2018,ANTIOQUIA,239.231607950886
36,2018,ARAUCA,45.87369282000351
37,2018,ATLANTICO,292.77067155169124
38,2018,"BOGOTA, D.C.",327.52340417609764
39,2018,BOLIVAR,490.3057823636112
40,2018,BOYACA,215.08699842976708
41,2018,CALDAS,278.0964185853062
42,2018,CAQUETA,23.550663514428617
43,2018,CASANARE,179.4825717050697
44,2018,CAUCA,248.5319704834637
45,2018,CESAR,323.8355494139605
46,2018,CORDOBA,224.1465772936741
47,2018,CUNDINAMARCA,190.2968608039646
48,2018,GUAVIARE,156.76966770803747
49,2018,HUILA,72.85410536991705
50,2018,LA GUAJIRA,237.9372218318108
51,2018,MAGDALENA,334.2522882596015
52,2018,META,221.1359088394294
53,2018,NARINO,225.52648054360827
54,2018,NORTE DE SANTANDER,156.8815592203898
55,2018,QUINDIO,530.365708246389
56,2018,RISARALDA,308.58751663751906
57,2018,SANTANDER,325.7883295858963
58,2018,SUCRE,220.82386447416567
59,2018,TOLIMA,289.83505621796144
60,2018,VALLE DEL CAUCA,252.22214442024583
61,2019,ANTIOQUIA,237.7692770568245
62,2019,ARAUCA,163.4993197278912
63,2019,ATLANTICO,247.27206776145303
64,2019,"BOGOTA, D.C.",270.24110063242216
65,2019,BOLIVAR,439.679789973946
66,2019,BOYACA,207.61953495498665
67,2019,CALDAS,301.9866323030336
68,2019,CAQUETA,40.26153053336769
69,2019,CASANARE,210.09044476436188
70,2019,CAUCA,241.48465923622055
71,2019,CESAR,288.3556595565598
72,2019,CORDOBA,201.4902568057748
73,2019,CUNDINAMARCA,210.09532380032968
74,2019,GUAVIARE,195.98107963852544
75,2019,HUILA,200.01385398292248
76,2019,LA GUAJIRA,223.1175426278569
77,2019,MAGDALENA,318.3843011768884
78,2019,META,920.3305067020782
79,2019,NARINO,311.09887255950383
80,2019,NORTE DE SANTANDER,214.37084467604805
81,2019,QUINDIO,526.4315076250692
82,2019,RISARALDA,341.0062653550248
83,2019,SANTANDER,260.74010834351265
84,2019,SUCRE,204.04008761046487
85,2019,TOLIMA,238.48150624366477
86,2019,VALLE DEL CAUCA,263.10666780728
87,2020,ANTIOQUIA,395.57756741318354
88,2020,ARAUCA,96.22162083996116
89,2020,ATLANTICO,328.5454657482596
90,2020,"BOGOTA, D.C.",309.21681492209086
91,2020,BOLIVAR,433.3828937046479
92,2020,BOYACA,257.6315062844689
93,2020,CALDAS,297.6251718541733
94,2020,CAQUETA,244.88841749946536
95,2020,CASANARE,290.4360452028275
96,2020,CAUCA,304.3360470498544
97,2020,CESAR,297.938172545882
98,2020,CHOCO,73.73437798585897
99,2020,CORDOBA,234.1650510997252
100,2020,CUNDINAMARCA,485.0029624476464
101,2020,GUAVIARE,31.17377284127553
102,2020,HUILA,245.21385107947407
103,2020,LA GUAJIRA,254.57098919389725
104,2020,MAGDALENA,362.7979864585495
105,2020,META,229.52302793904988
106,2020,NARINO,351.96992274363265
107,2020,NORTE DE SANTANDER,343.6402694016003
108,2020,QUINDIO,421.17120148412215
109,2020,RISARALDA,385.3041955796799
110,2020,SANTANDER,271.2656014563535
111,2020,SUCRE,243.39083654622075
112,2020,TOLIMA,267.86455884510326
113,2020,VALLE DEL CAUCA,566.2906046409807
114,2021,ANTIOQUIA,387.170746516916
115,2021,ARAUCA,38.75735049373127
116,2021,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",373.18300294944777
117,2021,ATLANTICO,317.7393954437846
118,2021,"BOGOTA, D.C.",264.91328433514377
119,2021,BOLIVAR,346.9965902825963
120,2021,BOYACA,244.00358554597335
121,2021,CALDAS,261.8179252014048
122,2021,CAQUETA,208.2897980427708
123,2021,CASANARE,133.10815979482032
124,2021,CAUCA,262.45651087734456
125,2021,CESAR,258.70263238380346
126,2021,CHOCO,124.27983258268505
127,2021,CORDOBA,198.63052101898109
128,2021,CUNDINAMARCA,237.5228994075728
129,2021,HUILA,253.6129669630448
130,2021,LA GUAJIRA,225.0857879308602
131,2021,MAGDALENA,320.11716128407284
132,2021,META,244.5667888918252
