,AÑO,Departamento,TONELADAS APROVECHADAS,TONELADAS DE RESIDUOS,Total,kg_percapita_apro,kg_percapita_noapro
0,2016,ANTIOQUIA,11739.75818,580790.056,3465111,3.387989065862537,167.61080842720477
1,2016,ATLANTICO,1168.161,289872.0,1167555,1.0005190333645952,248.27267237945964
2,2016,"BOGOTA, D.C.",78560.8826,1520333.2740000002,7300918,10.760411581118976,208.23864533199801
3,2016,BOLIVAR,66.729,134552.64,945316,0.07058909401723867,142.33615002813877
4,2016,BOYACA,258.748,5926.53,118852,2.1770605458890047,49.86478982263655
5,2016,CALDAS,365.7705,59546.22000000001,425208,0.8602154710165378,140.04021561212394
6,2016,CAUCA,680.3574,56551.170000000006,310409,2.1918095158323374,182.18276531930456
7,2016,CESAR,74.91411699999999,89498.79000000001,463923,0.16147963562918843,192.91733757541664
8,2016,CORDOBA,1521.009,79535.1,478806,3.17667071841205,166.11132692572775
9,2016,CUNDINAMARCA,366.911,44677.74,701030,0.5233884427199977,63.73156640942612
10,2016,LA GUAJIRA,256.66499999999996,13622.788,174676,1.4693775905104305,77.98889372323617
11,2016,MAGDALENA,606.2645,133714.856,477190,1.2704886942308096,280.21303044908734
12,2016,RISARALDA,89.99158,96318.18000000001,459033,0.19604599233606299,209.82844370666163
13,2016,SANTANDER,3383.0158699999997,352852.56999999995,1355514,2.495743953953998,260.3090561956571
14,2016,VALLE DEL CAUCA,86.3042,8711.84,134759,0.640433663057755,64.64755600739097
15,2017,ANTIOQUIA,41505.60192100001,981640.6549999999,4148602,10.004720125237371,236.6196263223129
16,2017,ATLANTICO,6704.846199999999,468370.01000000007,2095803,3.1991776898878377,223.479978795717
17,2017,"BOGOTA, D.C.",449489.5987099999,2257256.728,7337449,61.259655598287615,307.6350824380517
18,2017,BOLIVAR,733.8729999999999,415113.72,956464,0.7672771792770036,434.00872379932747
19,2017,BOYACA,1293.273,62092.04000000001,416022,3.1086649263740855,149.2518184134493
20,2017,CALDAS,1216.3395400000002,130145.53000000001,429333,2.833091190288192,303.13423379987097
21,2017,CAUCA,1344.2621,77619.25,314054,4.280353378718309,247.15255975087086
22,2017,CESAR,458.65557,169824.346,580715,0.7898118181896455,292.4400885115762
23,2017,CORDOBA,4740.737999999999,116829.62399999998,588790,8.051661882844476,198.42324767744012
24,2017,CUNDINAMARCA,4985.4201,141362.09,944635,5.277615269389765,149.64731351262657
25,2017,HUILA,61.202,2112.5,30926,1.978982086270452,68.30821962103084
26,2017,LA GUAJIRA,954.9201,56275.098000000005,343906,2.776689269742313,163.63511540944327
27,2017,MAGDALENA,1156.4189000000001,175985.06999999998,486246,2.378258947117303,361.9260004195407
28,2017,META,7157.4660650000005,105725.24999999999,521700,13.719505587502397,202.65526164462332
29,2017,QUINDIO,438.388,12460.06,291698,1.5028831188420901,42.715616836591266
30,2017,RISARALDA,180.80457,164273.78999999995,676831,0.2671339965220269,242.71020387659541
31,2017,SANTANDER,6230.04305,705273.9400000001,1433086,4.347291823379756,492.13650820676503
32,2017,SUCRE,37.25899,19589.91,359520,0.10363537494437026,54.48906875834446
33,2017,TOLIMA,452.89033,147145.602,525076,0.8625233870906307,280.23676953431504
34,2017,VALLE DEL CAUCA,1061.080768,789728.2500000002,2686187,0.3950137380606786,293.9960062348601
35,2018,ANTIOQUIA,47013.607039999995,1050407.6180000002,4390756,10.707405977467205,239.23160795088597
36,2018,ARAUCA,100.838,3926.1,85585,1.1782204825611964,45.873692820003505
37,2018,ATLANTICO,28128.310730000005,659095.29,2251234,12.494618831272096,292.77067155169124
38,2018,"BOGOTA, D.C.",778407.59701,2427788.8499999996,7412566,105.01189426306625,327.52340417609764
39,2018,BOLIVAR,2334.79082,477089.59,973045,2.3994684932351538,490.3057823636112
40,2018,BOYACA,9362.916299999999,102870.30399999999,478273,19.576510277602956,215.08699842976708
41,2018,CALDAS,2040.1934999999996,135064.2,485674,4.200746797234358,278.0964185853062
42,2018,CAQUETA,6.0,7929.32,336692,0.01782044123412496,23.550663514428617
43,2018,CASANARE,1099.332,30230.788,168433,6.526820753652789,179.4825717050697
44,2018,CAUCA,2689.3768599999994,79047.82999999999,318059,8.455591132462843,248.53197048346374
45,2018,CESAR,2717.9419900000007,207163.43,639718,4.2486564236116555,323.8355494139605
46,2018,CORDOBA,9301.562600000001,133759.47000000003,596750,15.587034101382491,224.1465772936741
47,2018,CUNDINAMARCA,21125.5469,327164.07200000004,1719230,12.287795641071876,190.2968608039646
48,2018,GUAVIARE,2296.9478000000004,8279.789999999999,52815,43.49044400265077,156.76966770803747
49,2018,HUILA,410.798,28302.29,388479,1.0574522689772163,72.85410536991705
50,2018,LA GUAJIRA,3095.072,85323.33600000001,358596,8.631083447668127,237.93722183181077
51,2018,MAGDALENA,2759.34695,202383.74400000004,605482,4.557273296315993,334.2522882596015
52,2018,META,24721.118531999997,155483.09000000003,703111,35.159624201584094,221.1359088394294
53,2018,NARINO,1076.9681699999999,88616.12,392930,2.740865217723258,225.52648054360827
54,2018,NORTE DE SANTANDER,215.46650000000002,7848.0,50025,4.307176411794104,156.8815592203898
55,2018,QUINDIO,4102.28,156568.19999999998,295208,13.896235874366548,530.365708246389
56,2018,RISARALDA,505.16774000000015,211211.8,684447,0.7380669942303789,308.58751663751906
57,2018,SANTANDER,15174.44843,476845.6270000001,1463667,10.367418565834988,325.7883295858963
58,2018,SUCRE,2509.8533500000003,80869.67400000001,366218,6.853440710178091,220.82386447416567
59,2018,TOLIMA,2297.8884799999996,153506.79,529635,4.338626563576803,289.83505621796144
