|AUX_PER|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Tasa_de_aprovechamiento|AÑO
1911|2017-05|BOGOTA, D.C.-BOGOTA, D.C.|192490.858|40534.48203000001|0.17394881614498037|2017
2064|2017-06|BOGOTA, D.C.-BOGOTA, D.C.|192490.858|37400.99369999999|0.16268951432348652|2017
1759|2017-04|BOGOTA, D.C.-BOGOTA, D.C.|192490.858|32232.812650000003|0.14343309966755388|2017
1608|2017-03|BOGOTA, D.C.-BOGOTA, D.C.|192490.858|25804.0587|0.11820732745445557|2017
1458|2017-02|BOGOTA, D.C.-BOGOTA, D.C.|192490.858|19589.010499999993|0.09236619504976726|2017
1162|2016-12|BOGOTA, D.C.-BOGOTA, D.C.|182993.84999999998|15698.360250000002|0.07900843334647038|2016
1308|2017-01|BOGOTA, D.C.-BOGOTA, D.C.|192490.858|14283.216749999998|0.06907643894559368|2017
871|2016-10|BOGOTA, D.C.-BOGOTA, D.C.|182993.58|11487.8054|0.059068920022203826|2016
729|2016-09|BOGOTA, D.C.-BOGOTA, D.C.|182993.58|10821.42275|0.055833772393556365|2016
1016|2016-11|BOGOTA, D.C.-BOGOTA, D.C.|182993.58|10686.9223|0.05517810090892149|2016
451|2016-07|BOGOTA, D.C.-BOGOTA, D.C.|182993.58|10386.918500000002|0.05371233697590247|2016
590|2016-08|BOGOTA, D.C.-BOGOTA, D.C.|182993.58|9783.26165|0.05074915413212446|2016
10668|2021-11|ANTIOQUIA-MEDELLIN|55153.17|7982.12|0.126428816593699|2021
9334|2021-03|ANTIOQUIA-MEDELLIN|55254.75|7143.2|0.11447811987413048|2021
9166|2021-02|ANTIOQUIA-MEDELLIN|55254.75|6999.990000000001|0.1124410767758407|2021
8998|2021-01|ANTIOQUIA-MEDELLIN|55254.75|6915.089999999999|0.11122901393987823|2021
8023|2020-07|ATLANTICO-BARRANQUILLA|31933.0|6363.319999999999|0.1661600905778936|2020
8356|2020-09|ATLANTICO-BARRANQUILLA|39370.0|6344.650000000001|0.13878811278222628|2020
312|2016-06|BOGOTA, D.C.-BOGOTA, D.C.|190748.262|6314.770749999999|0.03204442082250457|2016
8519|2020-10|ATLANTICO-BARRANQUILLA|39370.0|6219.95|0.1364324812815105|2020
8832|2020-12|ANTIOQUIA-MEDELLIN|52094.719999999994|6057.549999999999|0.10416704283426942|2020
8190|2020-08|ATLANTICO-BARRANQUILLA|31933.0|5965.219999999999|0.15740105999701304|2020
8848|2020-12|ATLANTICO-BARRANQUILLA|39370.0|5946.620000000003|0.13122382031140015|2020
9182|2021-02|ATLANTICO-BARRANQUILLA|41300.0|5839.009999999999|0.12386789624983637|2021
8340|2020-09|ANTIOQUIA-MEDELLIN|52094.719999999994|5715.910000000002|0.09887299273507315|2020
8503|2020-10|ANTIOQUIA-MEDELLIN|52094.719999999994|5706.88|0.09873221502518963|2020
7190|2020-02|ATLANTICO-BARRANQUILLA|67392.0|5637.9|0.07719988662178094|2020
7354|2020-03|ATLANTICO-BARRANQUILLA|33696.0|5637.820000000001|0.14333263334199425|2020
8666|2020-11|ANTIOQUIA-MEDELLIN|52094.719999999994|5577.43|0.09670924354302728|2020
7024|2020-01|ATLANTICO-BARRANQUILLA|67392.0|5485.32|0.07526786111234605|2020
6858|2019-12|ATLANTICO-BARRANQUILLA|32625.0|5454.8099999999995|0.14324677565355498|2019
6526|2019-10|ATLANTICO-BARRANQUILLA|32625.0|5322.740000000002|0.1402650065590204|2019
8682|2020-11|ATLANTICO-BARRANQUILLA|39370.0|5271.09|0.11807708996352913|2020
8174|2020-08|ANTIOQUIA-MEDELLIN|52094.719999999994|5235.4|0.09132023445965227|2020
9350|2021-03|ATLANTICO-BARRANQUILLA|41300.0|5123.569999999999|0.11036570431787127|2021
7687|2020-05|ATLANTICO-BARRANQUILLA|33696.0|5095.040000000001|0.13134579531768162|2020
9014|2021-01|ATLANTICO-BARRANQUILLA|41300.0|5067.789999999997|0.10929548292036342|2021
7855|2020-06|ATLANTICO-BARRANQUILLA|33696.0|5040.320000000001|0.13011871029566052|2020
8633|2020-10|VALLE DEL CAUCA-CALI|126673.11000000002|5027.6799999999985|0.03817501778083486|2020
8964|2020-12|VALLE DEL CAUCA-CALI|126673.11000000002|4964.74|0.03771514044023052|2020
6362|2019-09|ATLANTICO-BARRANQUILLA|32625.0|4913.11|0.13088325437801743|2019
8470|2020-09|VALLE DEL CAUCA-CALI|126673.11000000002|4885.67|0.037136784029161714|2020
7840|2020-06|ANTIOQUIA-MEDELLIN|56953.46|4854.349999999999|0.07853942729891254|2020
9519|2021-04|ATLANTICO-BARRANQUILLA|41300.0|4803.37|0.10418696073627588|2021
8140|2020-07|VALLE DEL CAUCA-CALI|126673.11000000002|4795.14|0.036473749365341056|2020
9671|2021-05|ANTIOQUIA-MEDELLIN|55254.75|4731.7|0.07887948028263049|2021
9854|2021-06|ATLANTICO-BARRANQUILLA|41300.0|4607.889999999999|0.10037250677389005|2021
8305|2020-08|VALLE DEL CAUCA-CALI|126673.11000000002|4594.539999999999|0.035001312204492104|2020
7505|2020-04|ANTIOQUIA-MEDELLIN|56953.46|4573.46|0.07433266609152547|2020
8008|2020-07|ANTIOQUIA-MEDELLIN|56955.469999999994|4573.43|0.07432978649057599|2020
6034|2019-07|ATLANTICO-BARRANQUILLA|32625.0|4544.844|0.12227234529152181|2019
7672|2020-05|ANTIOQUIA-MEDELLIN|56953.46|4474.550000000001|0.07284217737152808|2020
8798|2020-11|VALLE DEL CAUCA-CALI|126673.11000000002|4428.699999999999|0.03378061675883802|2020
9687|2021-05|ATLANTICO-BARRANQUILLA|41300.0|4396.9000000000015|0.09621878070503691|2021
6692|2019-11|ATLANTICO-BARRANQUILLA|32625.0|4267.27|0.11566840424836965|2019
9300|2021-02|VALLE DEL CAUCA-CALI|138505.25|4258.030000000001|0.029825806748065755|2021
9132|2021-01|VALLE DEL CAUCA-CALI|133949.0|4171.55|0.030202239999768322|2021
7175|2020-02|ANTIOQUIA-MEDELLIN|113906.91999999998|4167.030000000001|0.03529169643261703|2020
7520|2020-04|ATLANTICO-BARRANQUILLA|33696.0|4131.29|0.10921453796980962|2020
7974|2020-06|VALLE DEL CAUCA-CALI|137229.72|4116.65|0.02912455410068189|2020
6918|2019-12|CUNDINAMARCA-SOACHA|12520.372|4095.680000000001|0.24648935860335544|2019
10021|2021-07|ATLANTICO-BARRANQUILLA|41018.0|4091.4599999999996|0.09070070889786754|2021
6198|2019-08|ATLANTICO-BARRANQUILLA|32625.0|4086.3100000000004|0.11130929405679069|2019
7339|2020-03|ANTIOQUIA-MEDELLIN|56953.46|4062.61|0.06658262323351864|2020
10830|2021-12|ANTIOQUIA-MEDELLIN|55153.17|4022.31|0.06797257918313464|2021
7009|2020-01|ANTIOQUIA-MEDELLIN|107597.59999999999|3979.129999999999|0.035662722863450104|2020
6844|2019-12|ANTIOQUIA-MEDELLIN|53801.57|3975.1199999999994|0.06880144916574486|2019
6512|2019-10|ANTIOQUIA-MEDELLIN|53801.57|3952.0499999999993|0.06842947680162732|2019
9911|2021-06|CUNDINAMARCA-SOACHA|14752.18|3947.15|0.21108510304914666|2021
9503|2021-04|ANTIOQUIA-MEDELLIN|55254.75|3913.899999999999|0.06614820517284067|2021
9637|2021-04|VALLE DEL CAUCA-CALI|138508.25|3913.3000000000006|0.02747688113210396|2021
8904|2020-12|CUNDINAMARCA-SOACHA|13105.85|3897.78|0.22923222864764758|2020
9072|2021-01|CUNDINAMARCA-SOACHA|14752.19|3896.500000000001|0.20894229031637077|2021
7806|2020-05|VALLE DEL CAUCA-CALI|137229.72|3857.2599999999998|0.02733958867076182|2020
10171|2021-08|ANTIOQUIA-MEDELLIN|55153.17|3846.6700000000005|0.06519797341823301|2021
9744|2021-05|CUNDINAMARCA-SOACHA|14752.19|3770.5600000000004|0.20356372568868017|2021
6020|2019-07|ANTIOQUIA-MEDELLIN|55727.55|3763.47982|0.06326129891156757|2019
6184|2019-08|ANTIOQUIA-MEDELLIN|53801.57|3755.88|0.06525445446245448|2019
5696|2019-05|ANTIOQUIA-MEDELLIN|55723.66|3699.002680000001|0.06224902273261783|2019
9408|2021-03|CUNDINAMARCA-SOACHA|14752.19|3690.3199999999997|0.2000985766037269|2021
9933|2021-06|META-VILLAVICENCIO|13115.3|3675.0800000000004|0.21888009681734422|2021
6678|2019-11|ANTIOQUIA-MEDELLIN|53801.57|3674.7300000000005|0.06393470004158236|2019
9469|2021-03|VALLE DEL CAUCA-CALI|138508.25|3671.870000000001|0.025825481086948026|2021
6348|2019-09|ANTIOQUIA-MEDELLIN|53801.57|3669.7|0.06385277374242818|2019
9599|2021-04|META-VILLAVICENCIO|13115.3|3610.2799999999993|0.2158537999878031|2021
5872|2019-06|ATLANTICO-BARRANQUILLA|33290.0|3526.9500000000003|0.09579690876077461|2019
5858|2019-06|ANTIOQUIA-MEDELLIN|55723.66|3524.6948100000004|0.05949017185883275|2019
9804|2021-05|VALLE DEL CAUCA-CALI|138508.25|3506.9500000000007|0.024694187664419023|2021
9971|2021-06|VALLE DEL CAUCA-CALI|138508.25|3505.3899999999994|0.024683474066293908|2021
9431|2021-03|META-VILLAVICENCIO|13115.3|3468.1799999999994|0.20913463277912714|2021
6976|2019-12|VALLE DEL CAUCA-CALI|134252.9|3444.140000000001|0.025012447616884145|2019
9240|2021-02|CUNDINAMARCA-SOACHA|14752.18|3437.84|0.18899594392969332|2021
8926|2020-12|META-VILLAVICENCIO|11752.32|3399.8299999999995|0.22437937850404066|2020
5710|2019-05|ATLANTICO-BARRANQUILLA|33290.0|3360.8869999999997|0.09170001806504709|2019
7306|2020-02|VALLE DEL CAUCA-CALI|274459.43999999994|3350.79|0.012061434886685062|2020
9838|2021-06|ANTIOQUIA-MEDELLIN|55254.75|3345.319999999999|0.057087303820626815|2021
9766|2021-05|META-VILLAVICENCIO|13115.3|3343.2999999999997|0.20313392390604304|2021
7141|2020-01|VALLE DEL CAUCA-CALI|281609.1|3335.480000000001|0.011705714844619965|2020
8760|2020-11|META-VILLAVICENCIO|11752.32|3288.9700000000003|0.21866276097329418|2020
9094|2021-01|META-VILLAVICENCIO|13115.3|3284.26|0.20026512906443836|2021
9262|2021-02|META-VILLAVICENCIO|13115.3|3257.1500000000005|0.19894090377432824|2021
10137|2021-07|VALLE DEL CAUCA-CALI|129807.15999999999|3256.78|0.024475301122152255|2021
9577|2021-04|CUNDINAMARCA-SOACHA|14752.19|3244.58|0.18028679590837687|2021
8595|2020-10|META-VILLAVICENCIO|11752.32|3233.6400000000003|0.21577796817821485|2020
8738|2020-11|CUNDINAMARCA-SOACHA|13105.85|3230.2|0.19773445845231863|2020
5535|2019-04|ANTIOQUIA-MEDELLIN|55723.66|3229.4816100000007|0.05478048364859652|2019
10337|2021-09|ANTIOQUIA-MEDELLIN|55153.17|3119.4100000000003|0.053531352138518666|2021
6811|2019-11|VALLE DEL CAUCA-CALI|55275.01|3083.0299999999997|0.05282956727127915|2019
10303|2021-08|VALLE DEL CAUCA-CALI|128035.24799999998|3080.0399999999995|0.0234910821383392|2021
8432|2020-09|META-VILLAVICENCIO|11752.32|3079.45|0.20762525308847155|2020
5057|2019-01|ATLANTICO-BARRANQUILLA|33290.0|3070.2122000000004|0.08443878663612421|2019
8412|2020-09|CUNDINAMARCA-SOACHA|13105.85|3040.8600000000006|0.1883269099401674|2020
6937|2019-12|META-VILLAVICENCIO|11766.77|3036.85|0.20514239084764402|2019
8575|2020-10|CUNDINAMARCA-SOACHA|13105.85|2955.1400000000012|0.18399488449964796|2020
7101|2020-01|META-VILLAVICENCIO|24781.54|2939.0099999999998|0.1060227881481428|2020
7266|2020-02|META-VILLAVICENCIO|24781.54|2927.5400000000004|0.10565273188427765|2020
6645|2019-10|VALLE DEL CAUCA-CALI|55275.01|2919.7199999999984|0.05017155333481225|2019
5549|2019-04|ATLANTICO-BARRANQUILLA|33290.0|2917.3705|0.08057394004902953|2019
5387|2019-03|ATLANTICO-BARRANQUILLA|33290.0|2905.578|0.08027439152926359|2019
5373|2019-03|ANTIOQUIA-MEDELLIN|55723.66|2885.8989899999997|0.04923939097532526|2019
8266|2020-08|META-VILLAVICENCIO|11752.32|2870.9899999999993|0.196329695534048|2020
5209|2019-02|ANTIOQUIA-MEDELLIN|55724.66|2865.0806300000004|0.04890072219457785|2019
10006|2021-07|ANTIOQUIA-MEDELLIN|55152.9|2850.8399999999997|0.04914924451423305|2021
5043|2019-01|ANTIOQUIA-MEDELLIN|52571.52|2818.6997|0.05088803971651335|2019
10099|2021-07|META-VILLAVICENCIO|12480.71|2813.03|0.18393342635614313|2021
7471|2020-03|VALLE DEL CAUCA-CALI|137229.72|2792.609999999999|0.0199440332124169|2020
8246|2020-08|CUNDINAMARCA-SOACHA|13105.85|2783.93|0.17520255157717726|2020
8101|2020-07|META-VILLAVICENCIO|11752.32|2777.8399999999997|0.19117752316560863|2020
10844|2021-12|ATLANTICO-BARRANQUILLA|41017.66|2767.57|0.0632078442890445|2021
4972|2018-12|META-VILLAVICENCIO|11600.5|2766.761|0.19257400558116122|2018
7081|2020-01|CUNDINAMARCA-SOACHA|25726.02|2742.8399999999997|0.09634526988435785|2020
5787|2019-05|META-VILLAVICENCIO|12234.13|2739.43849|0.18295161182382919|2019
7933|2020-06|META-VILLAVICENCIO|12390.77|2735.649999999999|0.1808524422831046|2020
6772|2019-11|META-VILLAVICENCIO|11766.77|2726.93|0.18814588407376998|2019
10503|2021-10|ANTIOQUIA-MEDELLIN|55153.3|2702.47|0.04671046638909135|2021
7431|2020-03|META-VILLAVICENCIO|12390.77|2679.75|0.17781403694099474|2020
6481|2019-09|VALLE DEL CAUCA-CALI|55275.01|2678.28|0.046214459955595276|2019
4881|2018-12|ANTIOQUIA-MEDELLIN|52571.52|2677.79586|0.048467493548435055|2018
10683|2021-11|ATLANTICO-BARRANQUILLA|41018.0|2645.1800000000003|0.06058147849057261|2021
4895|2018-12|ATLANTICO-BARRANQUILLA|32761.0|2635.6801|0.07446122327161411|2018
5949|2019-06|META-VILLAVICENCIO|12234.13|2617.3438|0.17623461720007882|2019
8080|2020-07|CUNDINAMARCA-SOACHA|13105.85|2617.0900000000006|0.16645042212207134|2020
10518|2021-10|ATLANTICO-BARRANQUILLA|41018.0|2612.9899999999993|0.059888395839746006|2021
10899|2021-12|CUNDINAMARCA-SOACHA|14372.31|2611.5600000000004|0.15376707428872222|2021
7765|2020-05|META-VILLAVICENCIO|12390.77|2601.7099999999996|0.17353433187838166|2020
7912|2020-06|CUNDINAMARCA-SOACHA|12863.01|2597.41|0.16800384465622537|2020
10352|2021-09|ATLANTICO-BARRANQUILLA|41018.0|2572.9700000000007|0.05902529812940618|2021
6316|2019-08|VALLE DEL CAUCA-CALI|55275.01|2517.2|0.04355604327988149|2019
4717|2018-11|ANTIOQUIA-MEDELLIN|52571.52|2514.9091999999996|0.04565387948580264|2018
7744|2020-05|CUNDINAMARCA-SOACHA|12863.01|2501.6899999999996|0.1628206212942654|2020
7639|2020-04|VALLE DEL CAUCA-CALI|137292.50999999998|2491.0099999999998|0.017820484131462706|2020
5931|2019-06|CUNDINAMARCA-SOACHA|12427.27|2476.2940500000004|0.16615448772469968|2019
4809|2018-11|META-VILLAVICENCIO|11600.5|2455.5933999999997|0.17469956481649446|2018
6153|2019-07|VALLE DEL CAUCA-CALI|55272.15|2455.14856|0.04253011350337472|2019
5223|2019-02|ATLANTICO-BARRANQUILLA|33290.0|2453.547|0.06864307562984726|2019
