|AÑO|REGION|AUX_LOC|Departamento|Municipio|Total population|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|Tasa de aprovechamiento|Ton_percapita_apro|kg_percapita_apro|Ton_percapita_disp|kg_percapita_disp
165|2021|CARIBE|BOLIVAR-MAGANGUE|BOLIVAR|MAGANGUE|97284|19213.920000000002|364.67999999999995|1.8626459501700832|0.0037486123103490803|3.7486123103490803|0.19750339213025783|197.50339213025782
166|2021|CARIBE|BOLIVAR-MAGANGUE|BOLIVAR|MAGANGUE|44915|19213.920000000002|364.67999999999995|1.8626459501700832|0.008119336524546364|8.119336524546364|0.4277840365134143|427.78403651341426
167|2021|CARIBE|BOLIVAR-MAGANGUE|BOLIVAR|MAGANGUE|142199|19213.920000000002|364.67999999999995|1.8626459501700832|0.0025645749970112305|2.5645749970112304|0.13511993755230348|135.11993755230347
168|2020|CARIBE|BOLIVAR-TURBACO|BOLIVAR|TURBACO|103755|7755.12|5.16|0.0664924461488503|4.973254300997542e-05|0.04973254300997542|0.07474454243169004|74.74454243169004
169|2020|CARIBE|BOLIVAR-TURBACO|BOLIVAR|TURBACO|9685|7755.12|5.16|0.0664924461488503|0.0005327826535880228|0.5327826535880228|0.8007351574599897|800.7351574599896
170|2020|CARIBE|BOLIVAR-TURBACO|BOLIVAR|TURBACO|113440|7755.12|5.16|0.0664924461488503|4.548660084626234e-05|0.04548660084626234|0.06836318758815232|68.36318758815233
171|2021|CARIBE|BOLIVAR-TURBACO|BOLIVAR|TURBACO|105177|95718.60000000008|133.46999999999997|0.139245819104376|0.00126900367951168|1.2690036795116801|0.9100715935993618|910.0715935993619
172|2021|CARIBE|BOLIVAR-TURBACO|BOLIVAR|TURBACO|9939|95718.60000000008|133.46999999999997|0.139245819104376|0.013428916389978868|13.428916389978868|9.630606700875347|9630.606700875347
173|2021|CARIBE|BOLIVAR-TURBACO|BOLIVAR|TURBACO|115116|95718.60000000008|133.46999999999997|0.139245819104376|0.0011594391743979984|1.1594391743979984|0.8314969248410305|831.4969248410306
174|2017|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|92841|85592.25|171.40874999999997|0.19986175088408292|0.0018462613500500854|1.8462613500500853|0.921922965069312|921.922965069312
175|2017|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|13278|85592.25|171.40874999999997|0.19986175088408292|0.012909229552643469|12.909229552643469|6.446170356981473|6446.170356981474
176|2017|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|106119|85592.25|171.40874999999997|0.19986175088408292|0.001615250332174257|1.615250332174257|0.8065685692477313|806.5685692477314
177|2018|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|95851|184848.0|590.3946|0.31837775627507503|0.006159503813210086|6.159503813210086|1.9284931821264253|1928.4931821264254
178|2018|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|13770|184848.0|590.3946|0.31837775627507503|0.042875424836601304|42.875424836601304|13.4239651416122|13423.9651416122
179|2018|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|109621|184848.0|590.3946|0.31837775627507503|0.005385780096879247|5.385780096879247|1.6862462484377994|1686.2462484377993
180|2019|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|99897|138375.0|1131.1200000000006|0.8108031389590655|0.011322862548424883|11.322862548424883|1.385176732033995|1385.176732033995
181|2019|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|14672|138375.0|1131.1200000000006|0.8108031389590655|0.07709378407851694|77.09378407851695|9.431229552889858|9431.229552889858
182|2019|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|114569|138375.0|1131.1200000000006|0.8108031389590655|0.009872827728268559|9.87282772826856|1.2077874468660807|1207.7874468660807
183|2020|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|103209|88619.01000000002|130.55999999999997|0.14711057191601035|0.001265005958782664|1.2650059587826639|0.8586364561230128|858.6364561230127
184|2020|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|15443|88619.01000000002|130.55999999999997|0.14711057191601035|0.008454315871268533|8.454315871268534|5.7384582011267256|5738.458201126726
185|2020|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|118652|88619.01000000002|130.55999999999997|0.14711057191601035|0.0011003607187405184|1.1003607187405184|0.7468817213363451|746.8817213363451
186|2021|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|105320|82136.73|839.7300000000001|1.0120099122088364|0.007973129510064566|7.973129510064566|0.7798778009874667|779.8778009874667
187|2021|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|15820|82136.73|839.7300000000001|1.0120099122088364|0.053080278128950706|53.0802781289507|5.191955120101137|5191.955120101137
188|2021|CARIBE|CESAR-AGUACHICA|CESAR|AGUACHICA|121140|82136.73|839.7300000000001|1.0120099122088364|0.006931896978702329|6.931896978702329|0.678031451213472|678.031451213472
