|AUX_PER|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|AÑO|Total population_x|Departamento|Municipio|REGION|DP|DPNOM|DPMP|MPIO|ÁREA GEOGRÁFICA|Tasa_de_aprovechamiento|Ton_percapita_apro|kg_percapita_apro|Ton_percapita_disp|kg_percapita_disp
17|2020-10|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|126599.8700000001|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|43.73722688561192|0.01634821870736595|16.34821870736595|0.021030051181857336|16.34821870736595
18|2021-05|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|126144.42000000011|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|41.35043141405524|0.016101829332971853|16.101829332971853|0.02283810135780868|16.101829332971853
19|2021-05|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|126144.42000000011|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|41.35043141405524|0.016101829332971853|16.101829332971853|0.02283810135780868|16.101829332971853
20|2021-05|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|126144.42000000011|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|41.35043141405524|0.016101829332971853|16.101829332971853|0.02283810135780868|16.101829332971853
21|2020-07|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|121904.60999999996|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|42.80954042834187|0.01574190578328515|15.74190578328515|0.021030051181857336|15.74190578328515
22|2020-07|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|121904.60999999996|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|42.80954042834187|0.01574190578328515|15.74190578328515|0.021030051181857336|15.74190578328515
23|2020-07|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|121904.60999999996|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|42.80954042834187|0.01574190578328515|15.74190578328515|0.021030051181857336|15.74190578328515
24|2021-06|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|121133.82999999996|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|40.37103584909955|0.015462247613562484|15.462247613562484|0.02283810135780868|15.462247613562484
25|2021-06|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|121133.82999999996|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|40.37103584909955|0.015462247613562484|15.462247613562484|0.02283810135780868|15.462247613562484
26|2021-06|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|121133.82999999996|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|40.37103584909955|0.015462247613562484|15.462247613562484|0.02283810135780868|15.462247613562484
27|2021-02|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|121106.06000000004|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|40.36551662809415|0.015458702884429198|15.458702884429197|0.02283810135780868|15.458702884429197
28|2021-02|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|121106.06000000004|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|40.36551662809415|0.015458702884429198|15.458702884429197|0.02283810135780868|15.458702884429197
29|2021-02|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|121106.06000000004|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|40.36551662809415|0.015458702884429198|15.458702884429197|0.02283810135780868|15.458702884429197
30|2021-03|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|120007.99000000008|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|40.14645589441036|0.015318538652545967|15.318538652545966|0.02283810135780868|15.318538652545966
31|2021-03|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|120007.99000000008|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|40.14645589441036|0.015318538652545967|15.318538652545966|0.02283810135780868|15.318538652545966
32|2021-03|BOGOTA, D.C.-BOGOTA, D.C.|178917.49999999997|120007.99000000008|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|40.14645589441036|0.015318538652545967|15.318538652545966|0.02283810135780868|15.318538652545966
33|2020-08|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|119284.35000000012|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|42.27840762242537|0.015403543796419287|15.403543796419287|0.021030051181857336|15.403543796419287
34|2020-08|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|119284.35000000012|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|42.27840762242537|0.015403543796419287|15.403543796419287|0.021030051181857336|15.403543796419287
35|2020-08|BOGOTA, D.C.-BOGOTA, D.C.|162855.77000000002|119284.35000000012|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Total|42.27840762242537|0.015403543796419287|15.403543796419287|0.021030051181857336|15.403543796419287
36|2020-06|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|112066.8600000001|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Cabecera Municipal|38.744591655584095|0.014471527791677522|14.471527791677522|0.02287956347886836|14.471527791677522
37|2020-06|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|112066.8600000001|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|11|BOGOTA, D.C.|11001|BOGOTA, D.C.|Centros Poblados y Rural Disperso|38.744591655584095|0.014471527791677522|14.471527791677522|0.02287956347886836|14.471527791677522
