,NOMBRE_DEL_SITIO_DE_DF,MUNICIPIOS
5207,RELLENO SANITARIO PARQUE AMBIENTAL LOMA DE LOS COCOS,"BOLIVAR - CARTAGENA DE INDIAS , BOLIVAR - TURBANA , BOLIVAR - CLEMENCIA , ATLANTICO - LURUACO , BOLIVAR - SANTA ROSA , BOLIVAR - VILLANUEVA , BOLIVAR - MAHATES , BOLIVAR - TURBACO , BOLIVAR - ARJONA , BOLIVAR - SANTA CATALINA , BOLIVAR - ARENAL , BOLIVAR - SOPLAVIENTO , BOLIVAR - SAN CRISTOBAL , BOLIVAR - ARROYOHONDO"
5313,PLANTA REGIONAL DE RESIDUOS SOLIDOS,"BOYACA - GARAGOA , BOYACA - CHIVOR , BOYACA - SANTA MARIA , CUNDINAMARCA - UBALA , BOYACA - MACANAL"
5323,PRADO PARAJE DE LA CEIBA,ARAUCA - ARAUQUITA
5326,YERBABUENA,SANTANDER - BARRANCABERMEJA
5332,RELLENO SANITARIO NUEVO MONDOÑEDO,"CUNDINAMARCA - MANTA , CUNDINAMARCA - EL PENON , CUNDINAMARCA - TOPAIPI , CUNDINAMARCA - LENGUAZAQUE , CUNDINAMARCA - VILLETA , CUNDINAMARCA - CHIA , CUNDINAMARCA - JUNIN , CUNDINAMARCA - GACHALA , CUNDINAMARCA - CARMEN DE CARUPA , CUNDINAMARCA - SASAIMA , CUNDINAMARCA - MADRID , CUNDINAMARCA - TABIO , CUNDINAMARCA - SOPO , CUNDINAMARCA - TOCANCIPA , CUNDINAMARCA - LA VEGA , CUNDINAMARCA - GUASCA , CUNDINAMARCA - UTICA , CUNDINAMARCA - GUAYABAL DE SIQUIMA , CUNDINAMARCA - FUNZA , CUNDINAMARCA - SUBACHOQUE , CUNDINAMARCA - SUSA , CUNDINAMARCA - FUSAGASUGA , CUNDINAMARCA - ZIPACON , CUNDINAMARCA - EL ROSAL , CUNDINAMARCA - LA MESA , CUNDINAMARCA - CHOCONTA , CUNDINAMARCA - SILVANIA , CUNDINAMARCA - GUATAVITA , CUNDINAMARCA - SESQUILE , CUNDINAMARCA - GAMA , CUNDINAMARCA - GACHANCIPA , CUNDINAMARCA - MOSQUERA , CUNDINAMARCA - PACHO , CUNDINAMARCA - MACHETA , CUNDINAMARCA - TENA , CUNDINAMARCA - ZIPAQUIRA , CUNDINAMARCA - SOACHA , CUNDINAMARCA - FACATATIVA , CUNDINAMARCA - LA CALERA , CUNDINAMARCA - NOCAIMA , CUNDINAMARCA - GACHETA , CUNDINAMARCA - TAUSA , CUNDINAMARCA - QUEBRADANEGRA , CUNDINAMARCA - CAJICA , CUNDINAMARCA - COTA , CUNDINAMARCA - SAN ANTONIO DEL TEQUENDAMA , CUNDINAMARCA - SUPATA , CUNDINAMARCA - VIANI , CUNDINAMARCA - VERGARA , CUNDINAMARCA - SUTATAUSA , CUNDINAMARCA - VILLAPINZON , CUNDINAMARCA - TIBIRITA , CUNDINAMARCA - ALBAN , CUNDINAMARCA - CHAGUANI , CUNDINAMARCA - ANOLAIMA , CUNDINAMARCA - NIMAIMA , CUNDINAMARCA - NEMOCON , CUNDINAMARCA - CACHIPAY , CUNDINAMARCA - BITUIMA , CUNDINAMARCA - FUQUENE , CUNDINAMARCA - SAN CAYETANO , CUNDINAMARCA - LA PENA , CUNDINAMARCA - FOMEQUE , CUNDINAMARCA - QUIPILE , CUNDINAMARCA - SIBATE , CUNDINAMARCA - BOJACA , CUNDINAMARCA - VILLA DE SAN DIEGO DE UBATE , CUNDINAMARCA - SUESCA , CUNDINAMARCA - VILLAGOMEZ , CUNDINAMARCA - SIMIJACA , CUNDINAMARCA - GRANADA , CUNDINAMARCA - UBALA , CUNDINAMARCA - EL COLEGIO , CUNDINAMARCA - PAIME , CUNDINAMARCA - GUACHETA , CUNDINAMARCA - COGUA , CUNDINAMARCA - TENJO , CUNDINAMARCA - SAN FRANCISCO , BOYACA - CHIQUINQUIRA"
5942,LA GLORITA,"RISARALDA - SANTA ROSA DE CABAL , RISARALDA - SANTUARIO , VALLE DEL CAUCA - CARTAGO , RISARALDA - LA VIRGINIA , RISARALDA - MARSELLA , RISARALDA - BELEN DE UMBRIA , RISARALDA - DOSQUEBRADAS , RISARALDA - PEREIRA , RISARALDA - BALBOA , VALLE DEL CAUCA - TORO , RISARALDA - PUEBLO RICO , VALLE DEL CAUCA - ARGELIA , VALLE DEL CAUCA - EL AGUILA , CALDAS - VITERBO , RISARALDA - LA CELIA , VALLE DEL CAUCA - OBANDO , VALLE DEL CAUCA - ALCALA , VALLE DEL CAUCA - EL CAIRO , RISARALDA - APIA , CALDAS - NEIRA , QUINDIO - ARMENIA , CALDAS - MARMATO , VALLE DEL CAUCA - ANSERMANUEVO , RISARALDA - MISTRATO , QUINDIO - FILANDIA , VALLE DEL CAUCA - VERSALLES , CALDAS - RIOSUCIO , VALLE DEL CAUCA - ULLOA , QUINDIO - CALARCA , CALDAS - MANIZALES"
6161,RELLENO SANITARIO PARQUE AMBIENTAL PIRGUA,"BOYACA - TUNJA , BOYACA - GUATEQUE , BOYACA - CHIVATA , BOYACA - SORA , BOYACA - GACHANTIVA , BOYACA - MARIPI , BOYACA - OICATA , BOYACA - TUTA , BOYACA - CAMPOHERMOSO , BOYACA - SOMONDOCO , BOYACA - SUTAMARCHAN , BOYACA - NUEVO COLON , BOYACA - PAEZ , BOYACA - VILLA DE LEYVA , BOYACA - MUZO , BOYACA - BERBEO , SANTANDER - ALBANIA , BOYACA - TOCA , BOYACA - SANTA SOFIA , BOYACA - LA CAPILLA , BOYACA - BRICENO , BOYACA - CHIQUIZA , SANTANDER - VELEZ , SANTANDER - PUENTE NACIONAL , BOYACA - SACHICA , BOYACA - GUAYATA , BOYACA - VENTAQUEMADA , BOYACA - RAMIRIQUI , BOYACA - SAN EDUARDO , BOYACA - VIRACACHA , BOYACA - CHINAVITA , BOYACA - PAUNA , BOYACA - JENESANO , BOYACA - RONDON , BOYACA - TURMEQUE , BOYACA - SIACHOQUE , BOYACA - COMBITA , BOYACA - CUCAITA , BOYACA - RAQUIRA , BOYACA - PACHAVITA , BOYACA - SANTANA , BOYACA - SOTAQUIRA , SANTANDER - BARBOSA , BOYACA - ARCABUCO , BOYACA - DUITAMA , BOYACA - TENZA , BOYACA - SAMACA , BOYACA - MOTAVITA , BOYACA - ZETAQUIRA , BOYACA - SAN JOSE DE PARE , BOYACA - MIRAFLORES , BOYACA - MONIQUIRA , BOYACA - TOGUI , BOYACA - TINJACA , BOYACA - CHITARAQUE , BOYACA - TIBANA , BOYACA - CIENEGA , BOYACA - BOYACA , BOYACA - UMBITA , BOYACA - SORACA , BOYACA - TOTA , BOYACA - BETEITIVA , BOYACA - SOCOTA , BOYACA - SATIVANORTE , BOYACA - AQUITANIA , BOYACA - SOATA , BOYACA - TIPACOQUE , BOYACA - GUICAN , BOYACA - SOCHA , BOYACA - SATIVASUR , BOYACA - TIBASOSA , BOYACA - BELEN , BOYACA - MONGUI , BOYACA - CERINZA , BOYACA - CHISCAS , BOYACA - EL ESPINO , BOYACA - IZA , BOYACA - MONGUA , BOYACA - COPER , BOYACA - CHITA , BOYACA - PAZ DE RIO , BOYACA - CORRALES , BOYACA - LA UVITA , BOYACA - FIRAVITOBA , BOYACA - BOAVITA , BOYACA - PESCA , BOYACA - SUSACON , BOYACA - JERICO , BOYACA - TASCO , BOYACA - GAMEZA , BOYACA - COVARACHIA , BOYACA - SANTA ROSA DE VITERBO , BOYACA - PAIPA , BOYACA - EL COCUY , BOYACA - PANQUEBA , BOYACA - GUACAMAYAS , BOYACA - SAN MATEO , BOYACA - TUTAZA , BOYACA - FLORESTA , BOYACA - CUITIVA , BOYACA - TOPAGA , BOYACA - NOBSA , BOYACA - SOGAMOSO , BOYACA - QUIPAMA , BOYACA - MACANAL , SANTANDER - BUCARAMANGA , BOYACA - GARAGOA"
6626,RELLENO SANITARIO CIENAGA GRANDE DE SANTAMARTA,"MAGDALENA - SALAMINA , MAGDALENA - EL PINON"
6638,LA VERA,ANTIOQUIA - SEGOVIA
6644,EL CAIRO,"CAQUETA - BELEN DE LOS ANDAQUIES , CAQUETA - ALBANIA , CAQUETA - SAN JOSE DEL FRAGUA"
6652,LOS EUCALIPTOS,"CALDAS - PACORA , ANTIOQUIA - HISPANIA , ANTIOQUIA - JARDIN , CALDAS - AGUADAS , ANTIOQUIA - PUEBLORRICO , ANTIOQUIA - LA PINTADA"
6678,BACA MOMPOX,BOLIVAR - MOMPOS
6679,PIEDRAS,"ANTIOQUIA - TARAZA , ANTIOQUIA - CAUCASIA , ANTIOQUIA - CACERES , ANTIOQUIA - NECHI , ANTIOQUIA - ZARAGOZA"
6680,CENTRO INDUSTRIAL DE RESIDUOS SOLIDOS DE URABA EL TEJAR,"ANTIOQUIA - CHIGORODO , ANTIOQUIA - SAN PEDRO DE URABA , ANTIOQUIA - SAN JUAN DE URABA , ANTIOQUIA - ARBOLETES , ANTIOQUIA - APARTADO , ANTIOQUIA - TURBO , ANTIOQUIA - CAREPA , ANTIOQUIA - NECOCLI , ANTIOQUIA - MUTATA , CUNDINAMARCA - LA VEGA , CHOCO - RIOSUCIO"
6780,LA VEGA,"CALDAS - MANZANARES , CALDAS - PENSILVANIA , CALDAS - MARQUETALIA , CALDAS - VICTORIA"
6807,RELLENO SANITARIO REGIONAL COLOMBA-EL GUABAL,"VALLE DEL CAUCA - DAGUA , VALLE DEL CAUCA - CALI , CAUCA - SANTANDER DE QUILICHAO , VALLE DEL CAUCA - CANDELARIA , VALLE DEL CAUCA - LA CUMBRE , VALLE DEL CAUCA - RESTREPO , VALLE DEL CAUCA - YOTOCO , CAUCA - CALOTO , VALLE DEL CAUCA - FLORIDA , VALLE DEL CAUCA - JAMUNDI , CAUCA - GUACHENE , CAUCA - PADILLA , CAUCA - VILLA RICA , VALLE DEL CAUCA - EL CERRITO , VALLE DEL CAUCA - YUMBO , VALLE DEL CAUCA - PALMIRA , VALLE DEL CAUCA - ANDALUCIA , nan , CAUCA - BUENOS AIRES , VALLE DEL CAUCA - CALIMA , VALLE DEL CAUCA - RIOFRIO , CAUCA - SUAREZ , VALLE DEL CAUCA - BUENAVENTURA , VALLE DEL CAUCA - TULUA , CAUCA - TORIBIO , CAUCA - POPAYAN , CAUCA - CALDONO"
7009,RELLENO SANITARIO SAN VICENTE DE CHUCURI,SANTANDER - SAN VICENTE DE CHUCURI
7011,YARUMOS II,ANTIOQUIA - YARUMAL
7017,RELLENO SANITARIO EL BOGANTE,CASANARE - OROCUE
7021,LA ESPAÑOLA,ANTIOQUIA - AMALFI
7024,LA ESPERANZA,"CASANARE - VILLANUEVA , BOYACA - SANTA MARIA , BOYACA - SAN LUIS DE GACENO , CASANARE - SABANALARGA , META - BARRANCA DE UPIA"
7065,LA FLORIDA,SANTANDER - CIMITARRA
7069,CELDA DE DISPOSICION FINAL RONCESVALLES,TOLIMA - RONCESVALLES
7073,PARQUE TECNOLOGICO AMBIENTAL SAN SILVESTRE,SANTANDER - BARRANCABERMEJA
7085,LA AURORA,ANTIOQUIA - YALI
7091,BUENAVISTA III,ANTIOQUIA - ANGOSTURA
7097,TINAJAS,ANTIOQUIA - MACEO
7103,LA ARBOLEDA,CHOCO - EL CARMEN DE ATRATO
7108,RELLENO SANITARIO LETICIA,AMAZONAS - LETICIA
7112,SITIO DE DISPOSICION FINAL RELLENO SANITARIO,BOYACA - SAN MIGUEL DE SEMA
7115,RELLENO SANITARIO DOÑA JUANA,"CUNDINAMARCA - CAQUEZA , BOGOTA DC - BOGOTA DC , CUNDINAMARCA - CHIPAQUE , CUNDINAMARCA - UBAQUE , CUNDINAMARCA - FOSCA , CUNDINAMARCA - GUTIERREZ , CUNDINAMARCA - CHOACHI , CUNDINAMARCA - UNE , nan"
7214,EL CHONTADURO,CHOCO - ISTMINA
7215,RELLENO SANITARIO DE CUMBITARA,NARINO - CUMBITARA
7220,RELLENO SANITARIO REGIONAL LOS PICACHOS,"CAUCA - POPAYAN , CAUCA - TOTORO , CAUCA - SILVIA , CAUCA - PIENDAMO , CAUCA - TIMBIO , CAUCA - EL TAMBO , CAUCA - CAJIBIO , CAUCA - LA VEGA , CAUCA - CALDONO , CAUCA - SOTARA , CAUCA - PURACE , CAUCA - LA SIERRA , CAUCA - PATIA , CAUCA - ALMAGUER , CAUCA - ROSAS , CAUCA - MORALES , CAUCA - SUAREZ"
7313,RELLENO SANITARIO VDA APOSENTOS,CUNDINAMARCA - CUCUNUBA
7319,EL CUCHARO,"SANTANDER - SOCORRO , BOYACA - MONIQUIRA , SANTANDER - LA BELLEZA , SANTANDER - SUCRE , SANTANDER - PALMAS DEL SOCORRO , SANTANDER - COROMORO , SANTANDER - CURITI , SANTANDER - HATO , SANTANDER - ARATOCA , SANTANDER - CEPITA , SANTANDER - GUEPSA , SANTANDER - JESUS MARIA , SANTANDER - PINCHOTE , SANTANDER - OIBA , SANTANDER - PUENTE NACIONAL , SANTANDER - SAN GIL , BOYACA - SANTANA , SANTANDER - MOGOTES , SANTANDER - SAN VICENTE DE CHUCURI , SANTANDER - LA PAZ , SANTANDER - FLORIAN , SANTANDER - PARAMO , SANTANDER - CHARALA , SANTANDER - VALLE DE SAN JOSE , SANTANDER - CONTRATACION , SANTANDER - CABRERA , SANTANDER - SIMACOTA , SANTANDER - BOLIVAR , SANTANDER - VILLANUEVA , SANTANDER - PALMAR , SANTANDER - GAMBITA , SANTANDER - CONFINES , SANTANDER - OCAMONTE , SANTANDER - CHIMA , SANTANDER - GUAPOTA , SANTANDER - GUADALUPE , SANTANDER - BARICHARA , SANTANDER - GALAN , SANTANDER - SUAITA , SANTANDER - EL GUACAMAYO , SANTANDER - CHIPATA , SANTANDER - ENCINO , SANTANDER - GUAVATA , SANTANDER - JORDAN , TOLIMA - DOLORES , BOYACA - TUNUNGUA"
7419,EL AMARILLO,CAQUETA - SOLANO
7424,RELLENO SANITARIO EL JARDIN,ANTIOQUIA - CARAMANTA
7429,LA GRANJA,ANTIOQUIA - PEQUE
7434,RELLENO SANITARIO LAS GARZAS,"nan , ARAUCA - ARAUCA , CASANARE - YOPAL"
7472,AMBIENTE SONSON,ANTIOQUIA - SONSON
7476,EL PAJUI,ANTIOQUIA - SAN FRANCISCO
7477,RELLENO SANITARIO ANTANAS,NARINO - ANCUYA
7480,RELLENO SANITARIO LOS ANGELES,"HUILA - RIVERA , HUILA - SANTA MARIA , HUILA - GARZON , HUILA - PITAL , HUILA - AGRADO , HUILA - GIGANTE , HUILA - IQUIRA , HUILA - CAMPOALEGRE , HUILA - TESALIA , HUILA - NATAGA , HUILA - LA PLATA , CAUCA - PAEZ , HUILA - PAICOL , HUILA - VILLAVIEJA , HUILA - TELLO , HUILA - AIPE , HUILA - HOBO , HUILA - LA ARGENTINA , HUILA - YAGUARA , nan , PUTUMAYO - VILLAGARZON , HUILA - ALGECIRAS , HUILA - PALERMO , HUILA - BARAYA , HUILA - COLOMBIA , HUILA - TARQUI , HUILA - TERUEL , CAUCA - INZA , HUILA - NEIVA , HUILA - ALTAMIRA , HUILA - GUADALUPE , CUNDINAMARCA - GIRARDOT , TOLIMA - DOLORES"
7693,Celda de Contingencia El Cortijo,"CAUCA - PUERTO TEJADA , VALLE DEL CAUCA - JAMUNDI"
7704,ALTO DEL RAYO,ANTIOQUIA - ANDES
7730,RELLENO SANITARIO VEREDA MEDIO AFAN,"PUTUMAYO - VILLAGARZON , PUTUMAYO - MOCOA , PUTUMAYO - ORITO , PUTUMAYO - PUERTO ASIS , PUTUMAYO - VALLE DEL GUAMUEZ"
7775,RELLENO SANITARIO REGIONAL DEL SAN JACINTO,"BOLIVAR - SAN JUAN NEPOMUCENO , BOLIVAR - SAN JACINTO , BOLIVAR - CALAMAR , BOLIVAR - ZAMBRANO , BOLIVAR - EL GUAMO , BOLIVAR - MAHATES , BOLIVAR - SAN ESTANISLAO , BOLIVAR - ARJONA"
7804,RELLENO EL PINAR,"nan , ANTIOQUIA - DONMATIAS"
7810,RELLENO SANITARIO YOTUEL,CAQUETA - SAN VICENTE DEL CAGUAN
7815,CAMPO NUEVO,CHOCO - ALTO BAUDO
7816,PARQUE AMBIENTAL TAYARU,"CAQUETA - BELEN DE LOS ANDAQUIES , CAQUETA - LA MONTANITA , CAQUETA - MORELIA , HUILA - ALTAMIRA , CAQUETA - EL PAUJIL , HUILA - SUAZA , CAQUETA - FLORENCIA , CAQUETA - VALPARAISO , HUILA - GUADALUPE , HUILA - GARZON , CAQUETA - CURILLO"
7866,PARQUE AMBIENTAL CAMPOALEGRE,"ANTIOQUIA - CAUCASIA , CORDOBA - AYAPEL , CORDOBA - BUENAVISTA , CORDOBA - LA APARTADA , CORDOBA - PLANETA RICA , CORDOBA - PUERTO LIBERTADOR , CORDOBA - MONTELIBANO , CORDOBA - SAN JOSE DE URE , ANTIOQUIA - ZARAGOZA , ANTIOQUIA - CACERES , ANTIOQUIA - EL BAGRE , ANTIOQUIA - NECHI , ANTIOQUIA - TARAZA , CHOCO - SIPI"
8031,RELLENO SANITARIO PUERTO RONDON,ARAUCA - PUERTO RONDON
8032,RELLENO SANITARIO REGIONAL DEL SUR DE BOLIVAR,"BOLIVAR - SANTA ROSA DEL SUR , BOLIVAR - SAN PABLO , BOLIVAR - SIMITI , BOLIVAR - CANTAGALLO"
8061,UNION TEMPORAL OPERACION RELLENO SANITARIO REGIONAL NORTE DE,"LA GUAJIRA - URIBIA , LA GUAJIRA - MAICAO , LA GUAJIRA - MANAURE , LA GUAJIRA - RIOHACHA"
8066,UTORS S.A.S. E.S.P.,"LA GUAJIRA - URIBIA , LA GUAJIRA - MAICAO , LA GUAJIRA - MANAURE , LA GUAJIRA - RIOHACHA"
8071,RELLENO SANITARIO SAN JOSE,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA - SAN ANDRES"
8075,RELLENO SANITARIO PEREIRA,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA - SAN ANDRES"
8079,RELLENO CHIQUINQUIRA,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA - SAN ANDRES"
8083,RELLENO SANTA MARTHA,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA - SAN ANDRES"
8087,RELLENO SANITARIO LA PINTADA,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA - SAN ANDRES"
8091,RELLENO SANITARIO SAN ANDRES,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA - SAN ANDRES"
8095,AREA-AYA-004,"ANTIOQUIA - EL CARMEN DE VIBORAL , CUNDINAMARCA - FUSAGASUGA , ANTIOQUIA - BELLO , nan , BOYACA - DUITAMA , BOLIVAR - PINILLOS , ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA - SAN ANDRES , ANTIOQUIA - MEDELLIN , ANTIOQUIA - ANGOSTURA"
8111,RELLENO SANITARIO LLORO,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA - SAN ANDRES"
8115,RELLENO SANITARIO CAICEDO,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA - SAN ANDRES"
8119,GERMAN1,"nan , CUNDINAMARCA - FUSAGASUGA , VICHADA - CUMARIBO"
13545,FLORIDA 2,ARAUCA - ARAUQUITA
16212,SDF1,"BOGOTA DC - BOGOTA DC , TOLIMA - PURIFICACION"
25818,RELLENO SANITARIO PARQUE ECOLOGICO PRADERAS DEL MAGDALENA,CUNDINAMARCA - CABRERA
26404,MUNICIPIO ALEJANDRIA,ANTIOQUIA - ALEJANDRIA
29808,REGIONAL LA ESPERANZA,"CAQUETA - VALPARAISO , BOYACA - VIRACACHA , HUILA - GUADALUPE , HUILA - ALTAMIRA , HUILA - SUAZA , CAQUETA - MORELIA , CAQUETA - BELEN DE LOS ANDAQUIES , CAQUETA - EL PAUJIL , CAQUETA - FLORENCIA"
