,NOMBRE_DEL_SITIO_DE_DF,MUNICIPIOS
1111,RELLENO SANITARIO TERRAZAS DEL PORVENIR,"BOYACA - GUICAN , BOYACA - EL ESPINO , BOYACA - GUACAMAYAS , BOYACA - CORRALES , BOYACA - TIPACOQUE , BOYACA - CUITIVA , BOYACA - DUITAMA , BOYACA - TOTA , BOYACA - JERICO , BOYACA - SOCHA , BOYACA - SOATA , BOYACA - PAIPA , BOYACA - MONGUA , BOYACA - EL COCUY , BOYACA - SOGAMOSO , BOYACA - CHITA , BOYACA - SUSACON , BOYACA - TOPAGA , BOYACA - SANTA ROSA DE VITERBO , BOYACA - PANQUEBA , BOYACA - TASCO , BOYACA - TUTAZA , BOYACA - LA UVITA , BOYACA - SATIVANORTE , BOYACA - FIRAVITOBA , BOYACA - PESCA , BOYACA - CHISCAS , BOYACA - SATIVASUR , BOYACA - COVARACHIA , BOYACA - LABRANZAGRANDE , BOYACA - NOBSA , BOYACA - BELEN , BOYACA - TIBASOSA , BOYACA - FLORESTA , BOYACA - GAMEZA , BOYACA - CERINZA , BOYACA - PAZ DE RIO , BOYACA - AQUITANIA , BOYACA - IZA , BOYACA - BETEITIVA , BOYACA - SAN MATEO , BOYACA - MONGUI , BOYACA - SOCOTA , BOYACA - BOAVITA"
1281,CELDA TRANSITORIA GRANADITA,"CAUCA - CORINTO , CAUCA - MIRANDA"
1291,CARAPACHO,"BOYACA - CALDAS , BOYACA - BUENAVISTA , BOYACA - CHIQUINQUIRA , BOYACA - SABOYA , BOYACA - MUZO"
1308,LOS CEDROS,ANTIOQUIA - ANZA
1312,LOS ROBLES,ANTIOQUIA - SAN JOSE DE LA MONTANA
1315,RELLENO SANITARIO EL CUCHARO(ACUASAN),"SANTANDER - CABRERA , SANTANDER - SAN GIL , SANTANDER - ZAPATOCA , SANTANDER - LA PAZ , SANTANDER - SIMACOTA , SANTANDER - CONFINES , SANTANDER - CHIMA , SANTANDER - GUAPOTA , SANTANDER - FLORIAN , SANTANDER - GAMBITA , SANTANDER - CHIPATA , SANTANDER - PALMAR , SANTANDER - SUAITA , SANTANDER - CONTRATACION , SANTANDER - GUAVATA , SANTANDER - JORDAN , SANTANDER - EL GUACAMAYO , SANTANDER - SAN BENITO , SANTANDER - CHARALA"
1349,KILILI,PUTUMAYO - PUERTO ASIS
1354,LA MADERA,"NORTE DE SANTANDER - OCANA , CESAR - GONZALEZ , NORTE DE SANTANDER - SAN CALIXTO , NORTE DE SANTANDER - ABREGO , CESAR - RIO DE ORO , NORTE DE SANTANDER - TEORAMA , NORTE DE SANTANDER - EL CARMEN , NORTE DE SANTANDER - EL TARRA , NORTE DE SANTANDER - HACARI , NORTE DE SANTANDER - LA PLAYA , NORTE DE SANTANDER - CONVENCION"
1423,RELLENOS SANITARIO LA CORTADA,"NORTE DE SANTANDER - CUCUTILLA , NORTE DE SANTANDER - MUTISCUA , NORTE DE SANTANDER - SILOS , NORTE DE SANTANDER - TOLEDO , NORTE DE SANTANDER - CHITAGA , NORTE DE SANTANDER - CACOTA , NORTE DE SANTANDER - LABATECA , SANTANDER - VETAS , NORTE DE SANTANDER - PAMPLONA , nan , SANTANDER - BUCARAMANGA , SANTANDER - GIRON , NORTE DE SANTANDER - CUCUTA"
1456,PARQUE DE APROVECHAMIENTO DE RESIDUOS SOLIDOS LA ESPERANZA,ANTIOQUIA - FRONTINO
