COD_MUN;REGION;NOM_MUN;TRASLADO DE RECURSOS DE APROVECHAMIENTO
08520;CARIBE;PALMAR DE VARELA;NO TRASLADO
08685;CARIBE;SANTO TOMÁS;NO TRASLADO
47053;CARIBE;ARACATACA;NO TRASLADO
70742;CARIBE;SAN LUIS DE SINCÉ;NO TRASLADO
70708;CARIBE;SAN MARCOS;NO TRASLADO
20011;CARIBE;AGUACHICA;NO TRASLADO
25785;CENTRO ORIENTE;TABIO;NO TRASLADO
25799;CENTRO ORIENTE;TENJO;NO TRASLADO
25322;CENTRO ORIENTE;GUASCA;NO TRASLADO
47189;CARIBE;CIÉNAGA;NO TRASLADO
66687;EJE CAFETERO;SANTUARIO;NO TRASLADO
05079;EJE CAFETERO;BARBOSA;NO TRASLADO
68655;CENTRO ORIENTE;SABANA DE TORRES;NO TRASLADO
05674;EJE CAFETERO;SAN VICENTE FERRER;NO TRASLADO
25899;CENTRO ORIENTE;ZIPAQUIRÁ;NO TRASLADO
41020;CENTRO SUR;ALGECIRAS;NO TRASLADO
25592;CENTRO ORIENTE;QUEBRADANEGRA;NO TRASLADO
50150;LLANO ;CASTILLA LA NUEVA;NO TRASLADO
50568;LLANO ;PUERTO GAITÁN;NO TRASLADO
50573;LLANO ;PUERTO LÓPEZ;NO TRASLADO
50606;LLANO ;RESTREPO;NO TRASLADO
25386;CENTRO ORIENTE;LA MESA;NO TRASLADO
23417;CARIBE;LORICA;NO TRASLADO
23660;CARIBE;SAHAGÚN;NO TRASLADO
41016;CENTRO SUR;AIPE;NO TRASLADO
41078;CENTRO SUR;BARAYA;NO TRASLADO
41524;CENTRO SUR;PALERMO;NO TRASLADO
41799;CENTRO SUR;TELLO;NO TRASLADO
66682;EJE CAFETERO;SANTA ROSA DE CABAL;NO TRASLADO
85010;LLANO ;AGUAZUL;NO TRASLADO
20060;CARIBE;BOSCONIA;NO TRASLADO
76890;PACÍFICO;YOTOCO;NO TRASLADO
73443;CENTRO SUR;SAN SEBASTIÁN DE MARIQUITA;NO TRASLADO
85250;LLANO ;PAZ DE ARIPORO;NO TRASLADO
81001;LLANO ;ARAUCA;NO TRASLADO
05664;EJE CAFETERO;SAN PEDRO DE LOS MILAGROS;NO TRASLADO
