DP;DPNOM;DPMP;MPIO;AÑO;ÁREA GEOGRÁFICA;Total
05;Antioquia;05002;Abejorral;2027;Cabecera Municipal;9.671
05;Antioquia;05002;Abejorral;2027;Centros Poblados y Rural Disperso;12.352
05;Antioquia;05002;Abejorral;2027;Total;22.023
05;Antioquia;05002;Abejorral;2028;Cabecera Municipal;9.789
05;Antioquia;05002;Abejorral;2028;Centros Poblados y Rural Disperso;12.443
05;Antioquia;05002;Abejorral;2028;Total;22.232
05;Antioquia;05002;Abejorral;2029;Cabecera Municipal;9.907
05;Antioquia;05002;Abejorral;2029;Centros Poblados y Rural Disperso;12.558
05;Antioquia;05002;Abejorral;2029;Total;22.465
05;Antioquia;05002;Abejorral;2030;Cabecera Municipal;10.005
05;Antioquia;05002;Abejorral;2030;Centros Poblados y Rural Disperso;12.679
05;Antioquia;05002;Abejorral;2030;Total;22.684
05;Antioquia;05002;Abejorral;2031;Cabecera Municipal;10.104
05;Antioquia;05002;Abejorral;2031;Centros Poblados y Rural Disperso;12.804
05;Antioquia;05002;Abejorral;2031;Total;22.908
05;Antioquia;05002;Abejorral;2032;Cabecera Municipal;10.201
05;Antioquia;05002;Abejorral;2032;Centros Poblados y Rural Disperso;12.934
05;Antioquia;05002;Abejorral;2032;Total;23.135
05;Antioquia;05002;Abejorral;2033;Cabecera Municipal;10.295
05;Antioquia;05002;Abejorral;2033;Centros Poblados y Rural Disperso;13.081
05;Antioquia;05002;Abejorral;2033;Total;23.376
05;Antioquia;05002;Abejorral;2034;Cabecera Municipal;10.377
05;Antioquia;05002;Abejorral;2034;Centros Poblados y Rural Disperso;13.233
05;Antioquia;05002;Abejorral;2034;Total;23.610
05;Antioquia;05002;Abejorral;2035;Cabecera Municipal;10.452
05;Antioquia;05002;Abejorral;2035;Centros Poblados y Rural Disperso;13.352
05;Antioquia;05002;Abejorral;2035;Total;23.804
05;Antioquia;05004;Abriaquí;2018;Cabecera Municipal;824
05;Antioquia;05004;Abriaquí;2018;Centros Poblados y Rural Disperso;1.871
05;Antioquia;05004;Abriaquí;2018;Total;2.695
05;Antioquia;05004;Abriaquí;2019;Cabecera Municipal;833
05;Antioquia;05004;Abriaquí;2019;Centros Poblados y Rural Disperso;1.877
05;Antioquia;05004;Abriaquí;2019;Total;2.710
05;Antioquia;05004;Abriaquí;2020;Cabecera Municipal;847
05;Antioquia;05004;Abriaquí;2020;Centros Poblados y Rural Disperso;1.888
05;Antioquia;05004;Abriaquí;2020;Total;2.735
05;Antioquia;05004;Abriaquí;2021;Cabecera Municipal;910
05;Antioquia;05004;Abriaquí;2021;Centros Poblados y Rural Disperso;1.867
05;Antioquia;05004;Abriaquí;2021;Total;2.777
05;Antioquia;05004;Abriaquí;2022;Cabecera Municipal;959
05;Antioquia;05004;Abriaquí;2022;Centros Poblados y Rural Disperso;1.861
05;Antioquia;05004;Abriaquí;2022;Total;2.820
05;Antioquia;05004;Abriaquí;2023;Cabecera Municipal;1.003
05;Antioquia;05004;Abriaquí;2023;Centros Poblados y Rural Disperso;1.861
05;Antioquia;05004;Abriaquí;2023;Total;2.864
05;Antioquia;05004;Abriaquí;2024;Cabecera Municipal;1.013
05;Antioquia;05004;Abriaquí;2024;Centros Poblados y Rural Disperso;1.865
05;Antioquia;05004;Abriaquí;2024;Total;2.878
05;Antioquia;05004;Abriaquí;2025;Cabecera Municipal;1.034
05;Antioquia;05004;Abriaquí;2025;Centros Poblados y Rural Disperso;1.869
05;Antioquia;05004;Abriaquí;2025;Total;2.903
05;Antioquia;05004;Abriaquí;2026;Cabecera Municipal;1.054
05;Antioquia;05004;Abriaquí;2026;Centros Poblados y Rural Disperso;1.872
05;Antioquia;05004;Abriaquí;2026;Total;2.926
05;Antioquia;05004;Abriaquí;2027;Cabecera Municipal;1.066
05;Antioquia;05004;Abriaquí;2027;Centros Poblados y Rural Disperso;1.885
05;Antioquia;05004;Abriaquí;2027;Total;2.951
05;Antioquia;05004;Abriaquí;2028;Cabecera Municipal;1.079
05;Antioquia;05004;Abriaquí;2028;Centros Poblados y Rural Disperso;1.900
05;Antioquia;05004;Abriaquí;2028;Total;2.979
05;Antioquia;05004;Abriaquí;2029;Cabecera Municipal;1.094
05;Antioquia;05004;Abriaquí;2029;Centros Poblados y Rural Disperso;1.906
05;Antioquia;05004;Abriaquí;2029;Total;3.000
05;Antioquia;05004;Abriaquí;2030;Cabecera Municipal;1.107
05;Antioquia;05004;Abriaquí;2030;Centros Poblados y Rural Disperso;1.934
05;Antioquia;05004;Abriaquí;2030;Total;3.041
05;Antioquia;05004;Abriaquí;2031;Cabecera Municipal;1.118
05;Antioquia;05004;Abriaquí;2031;Centros Poblados y Rural Disperso;1.942
05;Antioquia;05004;Abriaquí;2031;Total;3.060
05;Antioquia;05004;Abriaquí;2032;Cabecera Municipal;1.134
05;Antioquia;05004;Abriaquí;2032;Centros Poblados y Rural Disperso;1.968
05;Antioquia;05004;Abriaquí;2032;Total;3.102
05;Antioquia;05004;Abriaquí;2033;Cabecera Municipal;1.139
05;Antioquia;05004;Abriaquí;2033;Centros Poblados y Rural Disperso;1.989
05;Antioquia;05004;Abriaquí;2033;Total;3.128
05;Antioquia;05004;Abriaquí;2034;Cabecera Municipal;1.146
05;Antioquia;05004;Abriaquí;2034;Centros Poblados y Rural Disperso;2.018
05;Antioquia;05004;Abriaquí;2034;Total;3.164
05;Antioquia;05004;Abriaquí;2035;Cabecera Municipal;1.155
05;Antioquia;05004;Abriaquí;2035;Centros Poblados y Rural Disperso;2.036
05;Antioquia;05004;Abriaquí;2035;Total;3.191
05;Antioquia;05021;Alejandría;2018;Cabecera Municipal;2.485
05;Antioquia;05021;Alejandría;2018;Centros Poblados y Rural Disperso;2.172
05;Antioquia;05021;Alejandría;2018;Total;4.657
05;Antioquia;05021;Alejandría;2019;Cabecera Municipal;2.564
05;Antioquia;05021;Alejandría;2019;Centros Poblados y Rural Disperso;2.105
05;Antioquia;05021;Alejandría;2019;Total;4.669
05;Antioquia;05021;Alejandría;2020;Cabecera Municipal;2.637
05;Antioquia;05021;Alejandría;2020;Centros Poblados y Rural Disperso;2.061
05;Antioquia;05021;Alejandría;2020;Total;4.698
05;Antioquia;05021;Alejandría;2021;Cabecera Municipal;2.734
05;Antioquia;05021;Alejandría;2021;Centros Poblados y Rural Disperso;2.037
05;Antioquia;05021;Alejandría;2021;Total;4.771
05;Antioquia;05021;Alejandría;2022;Cabecera Municipal;2.814
05;Antioquia;05021;Alejandría;2022;Centros Poblados y Rural Disperso;2.031
05;Antioquia;05021;Alejandría;2022;Total;4.845
05;Antioquia;05021;Alejandría;2023;Cabecera Municipal;2.889
05;Antioquia;05021;Alejandría;2023;Centros Poblados y Rural Disperso;2.031
05;Antioquia;05021;Alejandría;2023;Total;4.920
05;Antioquia;05021;Alejandría;2024;Cabecera Municipal;2.933
05;Antioquia;05021;Alejandría;2024;Centros Poblados y Rural Disperso;2.026
05;Antioquia;05021;Alejandría;2024;Total;4.959
05;Antioquia;05021;Alejandría;2025;Cabecera Municipal;2.991
05;Antioquia;05021;Alejandría;2025;Centros Poblados y Rural Disperso;2.041
05;Antioquia;05021;Alejandría;2025;Total;5.032
05;Antioquia;05021;Alejandría;2026;Cabecera Municipal;3.025
05;Antioquia;05021;Alejandría;2026;Centros Poblados y Rural Disperso;2.048
05;Antioquia;05021;Alejandría;2026;Total;5.073
05;Antioquia;05021;Alejandría;2027;Cabecera Municipal;3.082
05;Antioquia;05021;Alejandría;2027;Centros Poblados y Rural Disperso;2.051
05;Antioquia;05021;Alejandría;2027;Total;5.133
05;Antioquia;05021;Alejandría;2028;Cabecera Municipal;3.128
05;Antioquia;05021;Alejandría;2028;Centros Poblados y Rural Disperso;2.067
05;Antioquia;05021;Alejandría;2028;Total;5.195
05;Antioquia;05021;Alejandría;2029;Cabecera Municipal;3.163
05;Antioquia;05021;Alejandría;2029;Centros Poblados y Rural Disperso;2.094
05;Antioquia;05021;Alejandría;2029;Total;5.257
05;Antioquia;05021;Alejandría;2030;Cabecera Municipal;3.188
