|PERIODO_NUEVO|AUX_LOC|TONELADAS DE RESIDUOS|TONELADAS APROVECHADAS|AÑO|Total_x|Departamento|Municipio|REGION|Tasa_apro|Ton_percapita_apro|kg_percapita_apro
23|2020-03|BOGOTA, D.C.-BOGOTA, D.C.|177178.31000000003|86391.52|2020|7743955|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|32.77746925738807|0.011155994578997425|11.155994578997426
24|2019-04|BOGOTA, D.C.-BOGOTA, D.C.|174309.16|86277.12274700012|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|33.108850488022604|0.011362911703227951|11.362911703227951
25|2019-09|BOGOTA, D.C.-BOGOTA, D.C.|171281.6|85283.78999999998|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|33.24056685899839|0.011232087309266808|11.232087309266808
26|2019-08|BOGOTA, D.C.-BOGOTA, D.C.|171281.94|82528.36999999991|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|32.5157673854935|0.010869191640421641|10.869191640421642
27|2019-03|BOGOTA, D.C.-BOGOTA, D.C.|174309.16600000003|82318.25689999995|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|32.076952638096245|0.010841519222439042|10.841519222439041
28|2021-09|BOGOTA, D.C.-BOGOTA, D.C.|166978.32|81171.77999999996|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|32.71075852880976|0.010361252191841195|10.361252191841196
29|2019-02|BOGOTA, D.C.-BOGOTA, D.C.|174255.24|80057.79950000005|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|31.48002149531937|0.010543811359365917|10.543811359365918
30|2018-12|BOGOTA, D.C.-BOGOTA, D.C.|178855.33|75456.61399999997|2018|7412566|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|29.670888756998366|0.010179553746975066|10.179553746975065
31|2021-07|BOGOTA, D.C.-BOGOTA, D.C.|166978.32|75340.97999999995|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|31.091613420804688|0.009616973955239907|9.616973955239907
32|2019-01|BOGOTA, D.C.-BOGOTA, D.C.|175856.83|74992.18255|2019|7592871|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|29.8953469211095|0.009876657004972164|9.876657004972163
33|2021-12|BOGOTA, D.C.-BOGOTA, D.C.|166978.32|72477.45999999993|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|30.26757591735725|0.009251457110883637|9.251457110883637
34|2021-08|BOGOTA, D.C.-BOGOTA, D.C.|166978.32|72190.31999999998|2021|7834167|BOGOTA, D.C.|BOGOTA, D.C.|CENTRO ORIENTE|30.18385688023312|0.009214804841408152|9.214804841408151
